tp,concurrency,slurm_job_id,published_total_tput_per_gpu,reproduced_total_tput_per_gpu,total_tput_delta_pct,published_output_tput_per_gpu,reproduced_output_tput_per_gpu,published_median_interactivity,reproduced_median_interactivity,interactivity_delta_pct,published_median_ttft_ms,reproduced_median_ttft_ms,ttft_delta_pct
1,4,429,7395.265818,7272.336947,-1.662,822.664788,808.989924,217.623860,211.964369,-2.601,126.275279,104.709290,-17.079
1,8,430,11682.434890,10960.839963,-6.177,1313.302720,1232.183280,171.710652,165.959519,-3.349,132.923793,109.459514,-17.652
1,16,433,17500.355505,17592.773552,0.528,1939.151343,1949.391854,127.675019,127.963147,0.226,135.126791,115.885200,-14.240
1,32,436,25622.769813,25165.766138,-1.784,2865.338567,2814.232841,93.075940,91.026869,-2.202,146.772793,123.751903,-15.685
1,64,440,34859.705050,34328.276629,-1.524,3867.380042,3808.422697,62.359805,61.065349,-2.076,180.806442,149.872637,-17.109
1,128,446,42133.300789,41794.139182,-0.805,4666.916130,4629.348725,37.534811,37.048213,-1.296,245.953426,200.663817,-18.414
4,4,449,2559.613176,2594.629860,1.368,284.736706,288.632035,305.207748,302.273067,-0.962,97.008354,72.422081,-25.344
8,4,450,1283.535915,1288.109131,0.356,142.783211,143.291945,301.953452,299.646074,-0.764,94.870449,62.308911,-34.322
8,8,451,2361.256346,2366.124679,0.206,265.445039,265.992322,279.514623,277.052427,-0.881,95.138430,63.760811,-32.981
